name_of_work,work_type,department,project_type,gis_id,works_aa_approval_id,road_no,latitude,longitude,polygon_area,polygon_centroid,geometry,length,width,area,gis_snap,measure_in
"Pune Mahanagarpalikechya Junya va navin Imaratimadhil pyasej, Shauchalay , Mukhya Sabhagruh, sthayi sabhagruh, vishesh samiti sabhagruh mahapaur yanche karyaalay tasech savarkar bhavan yethil safsafai va junya aani navin imaratiche baheril bajuche saf safai karane",New,Solid waste Management,Building Cleaning,9224,18725,2,73.84981667,18.52187888,3059.372599,"73.84981666664528,18.52187887895526","{""type"":""Polygon"",""coordinates"":[[[73.84949045286186,18.522092222769626],[73.85022639115728,18.5220061023308],[73.85014809984925,18.52165640115496],[73.84940172271276,18.521760789565658],[73.84949045286186,18.522092222769626]]]}",NULL,NULL,NULL,65aa6a73b2bac.png,polygon
"Pune Mahanagarpalikechya Junya va navin Imaratimadhil pyasej, Shauchalay , Mukhya Sabhagruh, sthayi sabhagruh, vishesh samiti sabhagruh mahapaur yanche karyaalay tasech savarkar bhavan yethil safsafai va junya aani navin imaratiche baheril bajuche saf safai karane",New,Solid waste Management,Building Cleaning,9223,18725,2,73.84978013,18.52190693,NULL,NULL,"{""type"":""Point"",""coordinates"":[73.84978013070153,18.521906933340635]}",NULL,NULL,NULL,65aa6a73719a2.png,point
"Pune Mahanagarpalikechya Junya va navin Imaratimadhil pyasej, Shauchalay , Mukhya Sabhagruh, sthayi sabhagruh, vishesh samiti sabhagruh mahapaur yanche karyaalay tasech savarkar bhavan yethil safsafai va junya aani navin imaratiche baheril bajuche saf safai karane",New,Solid waste Management,Building Cleaning,9222,18725,1,73.85326877,18.52373706,16132.62085,"73.85326876884452,18.523737064076663","{""type"":""Polygon"",""coordinates"":[[[73.85317052349399,18.523005387881977],[73.85410618799743,18.52328608723301],[73.85352536558774,18.524582046967897],[73.85261009232235,18.524301692994715],[73.852931674821,18.52351010530573],[73.85317052349399,18.523005387881977]]]}",NULL,NULL,NULL,65aa69ebb13d4.png,polygon
"Pune Mahanagarpalikechya Junya va navin Imaratimadhil pyasej, Shauchalay , Mukhya Sabhagruh, sthayi sabhagruh, vishesh samiti sabhagruh mahapaur yanche karyaalay tasech savarkar bhavan yethil safsafai va junya aani navin imaratiche baheril bajuche saf safai karane",New,Solid waste Management,Building Cleaning,9221,18725,1,73.85335575,18.52356855,NULL,NULL,"{""type"":""Point"",""coordinates"":[73.85335574991355,18.523568551656997]}",NULL,NULL,NULL,65aa69e9e041e.png,point
Pune Shahramdhe Adarsh shala Yojaneantargat kai. Narayanrao Navale Prathamik Shala Vadagaon Khurd Sinhgad Road Shala Kr. 56 B ya Shalemadhe Vividh Vikas Kame Karne. ,New,Building,Educational,9220,18720,1,73.81370724,18.45951759,965.3269567,"73.81370724238678,18.45951758727734","{""type"":""Polygon"",""coordinates"":[[[73.81362514662689,18.459644326418932],[73.81362514662689,18.459644326418932],[73.81385585371365,18.459648820731758],[73.81385435563789,18.45931174849864],[73.81357570932863,18.459338714318434],[73.81362514662689,18.459644326418932]]]}",NULL,NULL,NULL,65aa578354f79.png,polygon
Pune Shahramdhe Adarsh shala Yojaneantargat kai. Narayanrao Navale Prathamik Shala Vadagaon Khurd Sinhgad Road Shala Kr. 56 B ya Shalemadhe Vividh Vikas Kame Karne. ,New,Building,Educational,9219,18720,1,73.81370724,18.45951759,965.3269567,"73.81370724238678,18.45951758727734","{""type"":""Polygon"",""coordinates"":[[[73.81362514662689,18.459644326418932],[73.81362514662689,18.459644326418932],[73.81385585371365,18.459648820731758],[73.81385435563789,18.45931174849864],[73.81357570932863,18.459338714318434],[73.81362514662689,18.459644326418932]]]}",NULL,NULL,NULL,65aa57823d392.png,polygon
Pune Shahramdhe Adarsh shala Yojaneantargat kai. Narayanrao Navale Prathamik Shala Vadagaon Khurd Sinhgad Road Shala Kr. 56 B ya Shalemadhe Vividh Vikas Kame Karne. ,New,Building,Educational,9218,18720,1,73.81370724,18.45951759,965.3269567,"73.81370724238678,18.45951758727734","{""type"":""Polygon"",""coordinates"":[[[73.81362514662689,18.459644326418932],[73.81362514662689,18.459644326418932],[73.81385585371365,18.459648820731758],[73.81385435563789,18.45931174849864],[73.81357570932863,18.459338714318434],[73.81362514662689,18.459644326418932]]]}",NULL,NULL,NULL,65aa57823d716.png,polygon
demop,Repair Work,Road,Bituminous Road,9217,3147,1,73.82741772,18.47891828,0.601780827,"73.82741771865645,18.478918281891676","{""type"":""LineString"",""coordinates"":[[73.83007915801338,18.477174994412906],[73.82758274566213,18.478567223990627],[73.82578244855758,18.47976742206033],[73.82622652239277,18.480163487102846]]}",NULL,NULL,NULL,65aa4bcd59b39.png,linestring
demop,Repair Work,Road,Bituminous Road,9216,3147,1,73.82741772,18.47891828,0.601780827,"73.82741771865645,18.478918281891676","{""type"":""LineString"",""coordinates"":[[73.83007915801338,18.477174994412906],[73.82758274566213,18.478567223990627],[73.82578244855758,18.47976742206033],[73.82622652239277,18.480163487102846]]}",NULL,NULL,NULL,65aa4bc947bb8.png,linestring
Prabhag Kr. 12 D Kothrud Yethil Yashwantrao Chavan Natyagruh Yethe Durusti Vishyak Kame Karne.,Maintenance Work,Building,Services,9215,18706,1,73.81231628,18.50275044,6159.586559,"73.81231627785077,18.502750439567947","{""type"":""Polygon"",""coordinates"":[[[73.8122799043581,18.50306325160482],[73.81268304390174,18.50305112710727],[73.81268304390174,18.502323657254077],[73.81199800978999,18.502308501632136],[73.81193738730222,18.503005660241442],[73.8122799043581,18.50306325160482]]]}",NULL,NULL,NULL,65aa33dcd962b.png,polygon
